Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA25,MA75,RSI,MACD,Tomorrow,Target
2023-11-02 00:00:00+09:00,2610.346674733922,2642.372620778844,2549.5437916631286,2562.07568359375,62211400,0.0,0.0,2450.922421875,2346.545537109375,57.045703977430435,10.508210836238504,2641.90869140625,1
2023-11-06 00:00:00+09:00,2636.338961206518,2660.9386029220013,2621.0222031572544,2641.90869140625,48988800,0.0,0.0,2456.12083984375,2354.348779296875,66.23038163159833,24.016036190221712,2628.91259765625,0
2023-11-07 00:00:00+09:00,2645.6217878955904,2649.334941282111,2616.3807049767447,2628.91259765625,27050700,0.0,0.0,2461.85765625,2361.3543977864583,63.33925627438334,33.29079142159844,2559.290771484375,0
2023-11-08 00:00:00+09:00,2656.296896119891,2673.006085052324,2559.290771484375,2559.290771484375,32626900,0.0,0.0,2464.45685546875,2367.480693359375,56.99521121377939,34.63646946419067,2615.452392578125,1
2023-11-09 00:00:00+09:00,2594.565904971024,2616.844825085265,2554.649506433008,2615.452392578125,23116200,0.0,0.0,2472.347314453125,2374.3496940104164,62.96018197827073,39.766496390505836,2601.9921875,0
2023-11-10 00:00:00+09:00,2571.822816792276,2613.131647453621,2571.3586726275416,2601.9921875,23638200,0.0,0.0,2484.4336328125,2380.5923893229165,64.26378796667476,42.26068538152913,2614.98828125,1
2023-11-13 00:00:00+09:00,2629.840894846024,2641.444499217918,2606.1695419273606,2614.98828125,19390400,0.0,0.0,2492.8625,2386.75740234375,65.70560378784674,44.76786551236819,2639.587646484375,1
2023-11-14 00:00:00+09:00,2640.980078863389,2660.9382762959244,2634.017916968319,2639.587646484375,25175900,0.0,0.0,2502.943720703125,2393.525849609375,68.27633748337684,48.18085294416687,2654.904541015625,1
2023-11-15 00:00:00+09:00,2673.9344511872405,2690.64364060622,2654.904541015625,2654.904541015625,29788400,0.0,0.0,2511.688203125,2400.516891276042,67.00152150080221,51.52553367446035,2672.5419921875,1
2023-11-16 00:00:00+09:00,2654.904514642671,2689.7153255864123,2653.047938059005,2672.5419921875,21411300,0.0,0.0,2520.154208984375,2407.8716373697916,72.9250501205861,54.96357745364003,2685.07373046875,1
2023-11-17 00:00:00+09:00,2636.338597936474,2685.07373046875,2630.7688685042135,2685.07373046875,24794700,0.0,0.0,2525.816767578125,2414.4630729166665,71.52540408498044,58.028996163570355,2580.6416015625,0
2023-11-20 00:00:00+09:00,2685.0740404746516,2692.0362030687947,2569.9662855848132,2580.6416015625,46342000,0.0,0.0,2529.2514453125,2418.9336751302085,66.14421018959143,51.44877173913619,2538.868408203125,0
2023-11-21 00:00:00+09:00,2585.2828215157965,2592.7091276458236,2525.40822834245,2538.868408203125,36142900,0.0,0.0,2532.036298828125,2422.1495052083333,60.86955835993242,42.3784755423394,2532.834716796875,0
2023-11-22 00:00:00+09:00,2532.3705726303374,2581.569854283346,2516.5896709680515,2532.834716796875,31006900,0.0,0.0,2533.80005859375,2426.4478873697917,51.49593314486932,34.30837994634339,2601.9921875,1
2023-11-24 00:00:00+09:00,2585.282997569568,2612.2033591241525,2575.0718259454156,2601.9921875,29415500,0.0,0.0,2538.77568359375,2431.3011067708335,53.719732157807755,33.10609916708336,2571.358642578125,0
2023-11-27 00:00:00+09:00,2599.207292136733,2601.9921570925935,2563.932336029163,2571.358642578125,22122900,0.0,0.0,2543.41712890625,2435.666305338542,42.761890019542214,29.345345452532456,2557.43408203125,0
2023-11-28 00:00:00+09:00,2571.358405526883,2580.177143740784,2539.7966056034484,2557.43408203125,22163500,0.0,0.0,2548.54126953125,2440.0968033854165,42.68057804173412,24.95459928263108,2601.528076171875,1
2023-11-29 00:00:00+09:00,2571.3587050833517,2608.026094560172,2547.2232082125333,2601.528076171875,36001000,0.0,0.0,2555.689091796875,2445.457998046875,54.56370895922407,24.74489261823919,2594.101806640625,0
2023-11-30 00:00:00+09:00,2608.490276135322,2617.7731596802873,2586.6754998046526,2594.101806640625,49146600,0.0,0.0,2563.00400390625,2450.310068359375,47.421530216792895,23.706587592555024,2629.8408203125,1
2023-12-01 00:00:00+09:00,2616.8447837843055,2638.195415223482,2601.992170609226,2629.8408203125,26774000,0.0,0.0,2570.170390625,2455.8957421875,53.19148817111399,25.471983075959542,2569.037841796875,0
2023-12-04 00:00:00+09:00,2601.063787792175,2601.5279319370343,2547.687211133342,2569.037841796875,30495700,0.0,0.0,2576.594150390625,2460.5360481770836,45.254056845512316,21.717437347704617,2556.0419921875,0
2023-12-05 00:00:00+09:00,2571.358750085119,2584.818931267875,2546.7591086131856,2556.0419921875,24512600,0.0,0.0,2580.864287109375,2465.5968131510417,41.15916718121481,17.492238067961352,2624.27099609375,1
2023-12-06 00:00:00+09:00,2571.822707703479,2626.5917168189835,2560.2191040773127,2624.27099609375,27896600,0.0,0.0,2590.258564453125,2471.487727864583,47.084801097355445,19.422435397178106,2594.101806640625,0
2023-12-07 00:00:00+09:00,2599.207392590356,2610.346852844315,2576.928472082439,2594.101806640625,26610300,0.0,0.0,2597.85197265625,2477.3191634114582,42.709242434350706,18.307858752277753,2488.276611328125,0
2023-12-08 00:00:00+09:00,2516.589402466162,2525.8722848065017,2466.461837828326,2488.276611328125,55312000,0.0,0.0,2596.68232421875,2481.6477799479167,34.411765729674585,8.787921606847249,2511.48388671875,1
2023-12-11 00:00:00+09:00,2507.306589549933,2521.2309134459897,2497.5595628226934,2511.48388671875,31081400,0.0,0.0,2594.65865234375,2485.551302083333,43.71306338737757,3.0796793631934634,2489.205078125,0
2023-12-12 00:00:00+09:00,2531.442195803422,2539.3326463587314,2489.205078125,2489.205078125,25316700,0.0,0.0,2588.5505078125,2489.2312239583334,45.31934466545513,-3.20419779939175,2481.778564453125,0
